TransactionID,TransactionStartDateTime,TransactionEndDateTime,CardholderID,LocationID,TransactionTypeID,TransactionAmount
FC-2022-1000000001,1/1/2022 5:00,1/1/2022 5:01,FC-001-1015,FC-001,3,0
FC-2022-1000000002,1/1/2022 5:14,1/1/2022 5:16,FC-001-1001,FC-001,3,0
FC-2022-1000000003,1/1/2022 5:14,1/1/2022 5:17,FC-002-1045,FC-002,2,10000
FC-2022-1000000004,1/1/2022 6:26,1/1/2022 6:31,FC-004-1013,FC-004,1,50000
FC-2022-1000000005,1/1/2022 6:27,1/1/2022 6:30,FC-003-1023,FC-003,2,10000
FC-2022-1000000006,1/1/2022 6:27,1/1/2022 6:31,FC-006-1010,FC-006,1,50000
FC-2022-1000000007,1/1/2022 7:03,1/1/2022 7:05,FC-004-1038,FC-004,1,50000
FC-2022-1000000008,1/1/2022 7:05,1/1/2022 7:12,FC-006-1012,FC-006,1,8000
FC-2022-1000000009,1/1/2022 7:06,1/1/2022 7:08,FC-001-1016,FC-001,4,1000
FC-2022-1000000010,1/1/2022 7:07,1/1/2022 7:12,FC-006-1027,FC-006,1,6000
FC-2022-1000000011,1/1/2022 7:07,1/1/2022 7:08,FC-006-1027,FC-006,3,0
FC-2022-1000000012,1/1/2022 7:08,1/1/2022 7:14,FC-006-1012,FC-006,1,0
FC-2022-1000000013,1/1/2022 7:09,1/1/2022 7:12,FC-004-1004,FC-004,3,0
FC-2022-1000000014,1/1/2022 7:10,1/1/2022 7:13,FC-001-1026,FC-001,1,10000
FC-2022-1000000015,1/1/2022 7:12,1/1/2022 7:18,FC-006-1020,FC-006,1,10000
FC-2022-1000000016,1/1/2022 7:15,1/1/2022 7:20,FC-005-1006,FC-005,4,100000
FC-2022-1000000017,1/1/2022 7:17,1/1/2022 7:22,FC-004-1026,FC-004,1,3000
FC-2022-1000000018,1/1/2022 7:21,1/1/2022 7:27,FC-003-1020,FC-003,1,20000
FC-2022-1000000019,1/1/2022 7:28,1/1/2022 7:30,FC-004-1035,FC-004,1,20000
FC-2022-1000000020,1/1/2022 7:32,1/1/2022 7:39,FC-001-1002,FC-001,2,20000
FC-2022-1000000021,1/1/2022 7:32,1/1/2022 7:39,FC-005-1023,FC-005,2,1000
FC-2022-1000000022,1/1/2022 7:34,1/1/2022 7:38,FC-006-1035,FC-006,3,0
FC-2022-1000000023,1/1/2022 7:35,1/1/2022 7:42,FC-005-1026,FC-005,1,10000
FC-2022-1000000024,1/1/2022 7:35,1/1/2022 7:41,FC-001-1047,FC-001,2,7000
FC-2022-1000000025,1/1/2022 7:38,1/1/2022 7:41,FC-002-1044,FC-002,3,0
FC-2022-1000000026,1/1/2022 7:38,1/1/2022 7:45,FC-002-1019,FC-002,1,0
FC-2022-1000000027,1/1/2022 7:41,1/1/2022 7:43,FC-004-1027,FC-004,3,0
FC-2022-1000000028,1/1/2022 7:41,1/1/2022 7:45,FC-002-1022,FC-002,3,0
FC-2022-1000000029,1/1/2022 7:41,1/1/2022 7:49,FC-005-1044,FC-005,2,10000
FC-2022-1000000030,1/1/2022 7:43,1/1/2022 7:48,FC-006-1013,FC-006,1,50000
FC-2022-1000000031,1/1/2022 7:44,1/1/2022 7:48,FC-001-1005,FC-001,1,50000
FC-2022-1000000032,1/1/2022 7:53,1/1/2022 7:59,FC-002-1026,FC-002,2,1000
FC-2022-1000000033,1/1/2022 7:54,1/1/2022 7:58,FC-002-1041,FC-002,3,0
FC-2022-1000000034,1/1/2022 7:57,1/1/2022 8:00,FC-006-1016,FC-006,1,9000
FC-2022-1000000035,1/1/2022 7:58,1/1/2022 8:03,FC-003-1020,FC-003,1,7000
FC-2022-1000000036,1/1/2022 7:58,1/1/2022 8:01,FC-004-1025,FC-004,3,0
FC-2022-1000000037,1/1/2022 7:59,1/1/2022 8:02,FC-001-1029,FC-001,2,7000
